ID, Nombre, Logo, NombreEstadio, pais
1, Athletic Club, https://static.vocento.com/sportsdata/latest/assets/equipos/g/237.png, San Mamés, España
2, Osasuna, https://static.vocento.com/sportsdata/latest/assets/equipos/g/246.png, El Sadar, España
3, Atlético de Madrid, https://static.vocento.com/sportsdata/latest/assets/equipos/g/236.png, Wanda Metropolitano, España
4, Cádiz, https://static.vocento.com/sportsdata/latest/assets/equipos/g/7376.png, Ramón de Carranza, España
5, Alavés, https://static.vocento.com/sportsdata/latest/assets/equipos/g/1437.png, Mendizorroza, España
6, FC Barcelona, https://static.vocento.com/sportsdata/latest/assets/equipos/g/238.png, Estadio Olímpic Lluís Companys, España
7, Getafe, https://static.vocento.com/sportsdata/latest/assets/equipos/g/241.png, Coliseum Alfonso Pérez, España
8, Girona, https://static.vocento.com/sportsdata/latest/assets/equipos/g/801.png, Montilivi, España
9, Granada, https://static.vocento.com/sportsdata/latest/assets/equipos/g/242.png, Los Cármenes, España
10, Rayo Vallecano, https://static.vocento.com/sportsdata/latest/assets/equipos/g/248.png, Campo de Fútbol de Vallecas, España
11, Real Betis, https://static.vocento.com/sportsdata/latest/assets/equipos/g/239.png, Benito Villamarín, España
12, Celta de Vigo, https://static.vocento.com/sportsdata/latest/assets/equipos/g/795.png, Balaídos, España
13, Mallorca, https://static.vocento.com/sportsdata/latest/assets/equipos/g/245.png, Iberostar Estadi, España
14, Real Madrid, https://static.vocento.com/sportsdata/latest/assets/equipos/g/249.png, Santiago Bernabéu, España
15, Real Sociedad, https://static.vocento.com/sportsdata/latest/assets/equipos/g/250.png, Anoeta, España
16, Sevilla, https://static.vocento.com/sportsdata/latest/assets/equipos/g/251.png, Ramón Sánchez-Pizjuán, España
17, Almería, https://static.vocento.com/sportsdata/latest/assets/equipos/g/793.png, Juegos del Mediterráneo, España
18, Las Palmas, https://static.vocento.com/sportsdata/latest/assets/equipos/g/805.png, Gran Canaria, España
19, Valencia, https://static.vocento.com/sportsdata/latest/assets/equipos/g/253.png, Mestalla, España
20, Villarreal, https://static.vocento.com/sportsdata/latest/assets/equipos/g/254.png, Estadio de la Cerámica, España
21, FC Oporto, https://static.vocento.com/sportsdata/latest/assets/equipos/g/5933.png, Do Dragão, Portugal
22, FK Shajtar Donetsk, https://static.vocento.com/sportsdata/latest/assets/equipos/g/5936.png, Olímpico de Kiev, Ucrania
23, Royal Antwerp Football Club, https://static.vocento.com/sportsdata/latest/assets/equipos/g/75150.png, Bosuilstadion, Bélgica
24, S. S. C. Napoli, https://static.vocento.com/sportsdata/latest/assets/equipos/g/2703.png, Diego Armando Maradona, Italia
25, París Saint-Germain, https://static.vocento.com/sportsdata/latest/assets/equipos/m/4260.png, Parque De Los Príncipes, Francia
26, Club América, https://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/227.png&h=200&w=200, Estadio Azteca, México
27, Unión Deportiva Barbastro, https://secure.espncdn.com/combiner/i?img=/i/teamlogos/default-team-logo-500.png&h=72&w=72, Municipal de Deportes de Barbastro, España
28, Unionistas de Salamanca, https://secure.espncdn.com/combiner/i?img=/i/teamlogos/default-team-logo-500.png&h=72&w=72, Estadio Municipal Reina Sofía, España